report,RAF-AG_TP,RAF-AG_FP,RAF-AG_FN,RAF-AG_Precision,RAF-AG_Recall,RAF-AG_F1,AttacKG_TP,AttacKG_FP,AttacKG_FN,AttacKG_Precision,AttacKG_Recall,AttacKG_F1
AHK keylogger,9,4,3,0.692,0.75,0.72,9,7,3,0.562,0.75,0.643
APT41 Campaign,4,2,2,0.667,0.667,0.667,4,11,2,0.267,0.667,0.381
Auto stealer,6,4,1,0.6,0.857,0.706,5,11,2,0.312,0.714,0.434
BazarLoader,10,5,3,0.667,0.769,0.714,8,6,5,0.571,0.615,0.592
BumbleBee,6,1,1,0.857,0.857,0.857,4,7,3,0.364,0.571,0.445
Celas Trade Pro (macOS),4,2,3,0.667,0.571,0.615,3,10,5,0.231,0.375,0.286
Celas Trade Pro (Windows),6,2,2,0.75,0.75,0.75,3,5,4,0.375,0.429,0.4
Cobalt Campaign,6,2,2,0.75,0.75,0.75,5,9,3,0.357,0.625,0.454
Costaricto Campaign,6,1,3,0.857,0.667,0.75,2,1,7,0.667,0.222,0.333
Crypto Union (macOS),4,4,2,0.5,0.667,0.572,2,13,4,0.133,0.333,0.19
DustySky Campaign,3,3,2,0.5,0.6,0.545,4,15,1,0.211,0.8,0.334
Emotet malware,5,2,1,0.714,0.833,0.769,3,9,3,0.25,0.5,0.333
Firefox BITS Micro APT,2,0,3,1,0.4,0.571,2,6,3,0.25,0.4,0.308
Frankenstein Campaign,12,0,0,1,1,1,8,5,4,0.615,0.667,0.64
JMT Trading (Windows),4,3,2,0.571,0.667,0.615,3,10,3,0.231,0.5,0.316
JMT Trading (macOS),3,3,3,0.5,0.5,0.5,3,11,3,0.214,0.5,0.3
Kimsuky APT,7,2,1,0.778,0.875,0.824,2,7,6,0.222,0.25,0.235
Konni malware,3,2,1,0.6,0.75,0.667,2,13,2,0.133,0.5,0.21
Md_client backdoor,5,0,1,1,0.833,0.909,2,5,4,0.286,0.333,0.308
NavRAT trojan,6,4,4,0.6,0.6,0.6,7,8,3,0.467,0.7,0.56
ObliqueRAT trojan,4,1,2,0.8,0.667,0.727,4,9,2,0.308,0.667,0.421
Operation Sharpshooter,4,1,0,0.8,1,0.889,2,8,2,0.2,0.5,0.286
Operation SnowMan,6,1,3,0.857,0.667,0.75,6,7,3,0.462,0.667,0.546
Operation Spalax,3,4,2,0.429,0.6,0.5,3,8,2,0.273,0.6,0.375
Operation Wocao,9,3,1,0.75,0.9,0.818,5,9,5,0.357,0.5,0.417
SUGARDUMP,5,1,2,0.833,0.714,0.769,2,4,5,0.333,0.286,0.308
SUGARUSH,5,3,2,0.625,0.714,0.667,3,4,4,0.429,0.429,0.429
Smoking Guns - Smoke Loader,2,6,2,0.25,0.5,0.333,4,9,0,0.308,1,0.471
SolarWinds Compromise,10,1,1,0.909,0.909,0.909,5,9,6,0.357,0.455,0.4
UNC5221 APT,5,0,3,1,0.625,0.769,4,7,4,0.364,0.5,0.421
